SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Milestone 4  Writeup Due","12/14/2015 12:00 AM","12/15/2015 12:00 AM","","Milestone 4 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-4">[requirements]</a>","","","",""
"Interviewing","08/30/2016 12:00 AM","08/31/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interviewing-8-31-2016-">Readings and Slides</a>","","","",""
"Pitch Slides Due","09/05/2016 12:00 AM","09/06/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Project-Pitches-9-7-2016-">Pitch Slides Due.</a>","","","",""
"Pitch Votes Due","09/09/2016 12:00 AM","09/10/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/project-rankings">Please submit your votes here.</a>","","","",""
"Gathering Requirements","09/11/2016 12:00 AM","09/12/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Gathering-Requirements-9-12-2016-">Readings and Slides</a>","","","",""
"Organizing Information","09/18/2016 12:00 AM","09/19/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Organizing-Information-9-19-2016-">Readings and Slides</a>","","","",""
"Task Centered Design","09/20/2016 12:00 AM","09/21/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Task-Centered-Design-9-21-2016-">Readings and Slides</a>","","","",""
"Milestone 1 Due","09/28/2016 12:00 AM","09/29/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-1"> Milestone 1 Requirements.</a>","","","",""
"Paper Prototyping","10/04/2016 12:00 AM","10/05/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Paper-Prototyping-10-5-2016-">Readings and Slides</a>","","","",""
"User Testing 101","10/09/2016 12:00 AM","10/10/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-User-Testing-10-10-2016-">Readings and Slides</a>","","","",""
"Interface Design Guidelines","10/18/2016 12:00 AM","10/19/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interface-Design-Guidelines-10-19-2016-">Readings and Slides</a>","","","",""
"Milestone 2 Due","10/26/2016 12:00 AM","10/27/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">Milestone 2 Guidelines</a>","","","",""
"Visual Design","11/01/2016 12:00 AM","11/02/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Visual-Design-11-2-2016-">Readings and Slides</a>","","","",""
"Cognitive Walkthrough","11/08/2016 12:00 AM","11/09/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Cognitive-Walkthrough-11-9-2016-">Readings and Slides</a>","","","",""
"GOMS Evaluations","11/13/2016 12:00 AM","11/14/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-GOMs-Evaluation-11-16-2016-">Readings and Slides</a>","","","",""
"Heuristic Evaluation","11/15/2016 12:00 AM","11/16/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Heuristic-Evaluation-11-14-2016-">Readings and Slides</a>","","","",""
"Milestone 3 Due","11/21/2016 12:00 AM","11/22/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-3"> Milestone 3 Requirements.</a>","","","",""
"Social Responses to Technology","11/28/2016 12:00 AM","11/29/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-No-Class:-Social-Responses-to-Technology-11-21-2016-">No class. Instead, please watch this lecture.</a>","","","",""
"Designing for the Future","12/04/2016 12:00 AM","12/05/2016 12:00 AM","","","","","",""
"Milestone 4 Presentations","12/19/2016 12:00 AM","12/20/2016 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-4"> Milestone 4 Requirements.</a>","","","",""
"Interviewing","08/30/2017 12:00 AM","08/31/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interviewing-8-31-2016-">Readings and Slides</a>","","","",""
"Pitch Slides Due","09/01/2017 12:00 AM","09/02/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Project-Pitches-9-7-2016-">Pitch Slides Due.</a>","","","",""
"Gathering Requirements","09/06/2017 12:00 AM","09/07/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Gathering-Requirements-9-7-2017-">Readings and Slides</a>","","","",""
"Pitch Votes Due","09/08/2017 12:00 AM","09/09/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/project-rankings">submit your vote here!</a>","","","",""
"Organizing Information","09/18/2017 12:00 AM","09/19/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Organizing-Information-9-19-2016-">Readings and Slides</a>","","","",""
"Task Centered Design","09/20/2017 12:00 AM","09/21/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Task-Centered-Design-9-21-2016-">Readings and Slides</a>","","","",""
"Milestone 1 Due","09/28/2017 12:00 AM","09/29/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-1"> Milestone 1 Requirements.</a>","","","",""
"Paper Prototyping","10/04/2017 12:00 AM","10/05/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Paper-Prototyping-10-5-2016-">Readings and Slides</a>","","","",""
"User Testing 101","10/11/2017 12:00 AM","10/12/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-User-Testing-10-10-2016-">Readings and Slides</a>","","","",""
"Interface Design Guidelines","10/18/2017 12:00 AM","10/19/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interface-Design-Guidelines-10-19-2016-">Readings and Slides</a>","","","",""
"Milestone 2 Due","10/24/2017 12:00 AM","10/25/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">Milestone 2 Guidelines</a>","","","",""
"Visual Design","11/01/2017 12:00 AM","11/02/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Visual-Design-11-2-2016-">Readings and Slides</a>","","","",""
"Cognitive Walkthrough","11/08/2017 12:00 AM","11/09/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Cognitive-Walkthrough-11-9-2016-">Readings and Slides</a>","","","",""
"Heuristic Evaluation","11/13/2017 12:00 AM","11/14/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Heuristic-Evaluation-11-14-2016-">Readings and Slides</a>","","","",""
"GOMS Evaluations","11/15/2017 12:00 AM","11/16/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-GOMs-Evaluation-11-16-2016-">Readings and Slides</a>","","","",""
"Milestone 3 Due","11/21/2017 12:00 AM","11/22/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-3"> Milestone 3 Requirements.</a>","","","",""
"Social Responses to Technology","11/28/2017 12:00 AM","11/29/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-No-Class:-Social-Responses-to-Technology-11-21-2016-">No class. Instead, please watch this lecture.</a>","","","",""
"Accessible Design","12/04/2017 12:00 AM","12/05/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Accessible-Design-12-5-2016-">Readings and Slides</a>","","","",""
"Designing for the Future","12/06/2017 12:00 AM","12/07/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Designing-for-the-Future">Readings and Slides</a>","","","",""
"Milestone 4 Presentations","12/19/2017 12:00 AM","12/20/2017 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-4"> Milestone 4 Requirements.</a>","","","",""

