SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Remote Evaluation","12/07/2011 12:00 AM","12/08/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Remote-Evaluation">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Gathering Requirements","08/29/2012 12:00 AM","08/30/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Gathering-Requirements">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Project Pitches","09/03/2012 12:00 AM","09/04/2012 12:00 AM","","Project Pitch Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/project-pitches">[requirements]</a>","","","",""
"Project Votes Due","09/07/2012 12:00 AM","09/08/2012 12:00 AM","","Project Votes Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/project-rankings">[voting form]</a>","","","",""
"Interviewing","09/10/2012 12:00 AM","09/11/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interviewing">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Interaction Design Series","09/14/2012 12:00 AM","09/15/2012 12:00 AM","","Reading Summary <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Organizing Information","09/17/2012 12:00 AM","09/18/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Organizing-Information">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Task Centered Design","09/19/2012 12:00 AM","09/20/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Task-Centered-Design">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 1 WriteUp Due","09/24/2012 12:00 AM","09/25/2012 12:00 AM","","Milestone 1 WriteUp Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 1 WriteUp Due","09/26/2012 12:00 AM","09/27/2012 12:00 AM","","Milestone 1 WriteUp and Team Member Ratings Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Initial Design","10/01/2012 12:00 AM","10/02/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Initial-Design">[readings]</a>  <ahref="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Interaction Design Series","10/05/2012 12:00 AM","10/06/2012 12:00 AM","","Reading Summary  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Paper Prototyping","10/08/2012 12:00 AM","10/09/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Paper-Prototyping">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"User Testing 101","10/10/2012 12:00 AM","10/11/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-User-Testing-101">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 2 Writeup Due","10/15/2012 12:00 AM","10/16/2012 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 2 Writeup Due","10/17/2012 12:00 AM","10/18/2012 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Visual Design","10/24/2012 12:00 AM","10/25/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Visual-Design">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Cognitive Walkthrough","11/05/2012 12:00 AM","11/06/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Cognitive-Walkthrough">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Heuristic Evaluation","11/07/2012 12:00 AM","11/08/2012 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-3">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 3 WriteUp Due","11/12/2012 12:00 AM","11/13/2012 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-3">[requirements]</a> <ahref="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 3 WriteUp Due","11/14/2012 12:00 AM","11/15/2012 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-3">[requirements]</a> <ahref="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Social Responses to Technology","11/26/2012 12:00 AM","11/27/2012 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"GOMS Evaluations","11/26/2012 12:00 AM","11/27/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-GOMs-Evaluation">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Information Scent","11/28/2012 12:00 AM","11/29/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Information-Scent">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Remote Evaluation","12/05/2012 12:00 AM","12/06/2012 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Remote-Evaluation">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"HCI in the Real World","12/13/2012 12:00 AM","12/14/2012 12:00 AM","","tba","","","",""
"Interaction Design Series - Erica Kochi","08/30/2013 12:00 AM","08/31/2013 12:00 AM","","Reading Summary Due  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Gathering Requirements","09/02/2013 12:00 AM","09/03/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Gathering-Requirements">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Interviewing","09/04/2013 12:00 AM","09/05/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interviewing">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Project Pitches","09/09/2013 12:00 AM","09/10/2013 12:00 AM","","Project Pitch Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/project-pitches">[requirements]</a>","","","",""
